,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
81,3/22/1900,3/22/2020,41,28,3/23/2019,44,26,3/23/2018,43,28,3/23/2017,44,39,3/22/2016,44,41,43.75,0.411213407,0.489990996,0.643957326,33.5,6.245391752,7.441843275,9.780239908,22-Mar, 
82,3/23/1900,3/23/2020,38,21,3/24/2019,50,31,3/24/2018,44,25,3/24/2017,48,52,3/23/2016,58,62,50,4.842317964,5.769977739,7.583036147,42.5,14.31589734,17.05844382,22.41859535,23-Mar,23-Mar
83,3/24/1900,3/24/2020,39,25,3/25/2019,44,43,3/25/2018,41,30,3/25/2017,37,68,3/24/2016,50,60,43,4.504617176,5.367582431,7.054199069,50.25,14.02754151,16.71484666,21.96703213,24-Mar, 
84,3/25/1900,3/25/2020,39,32,3/26/2019,44,27,3/26/2018,45,63,3/26/2017,41,57,3/25/2016,42,68,43,1.501539059,1.789194144,2.35139969,53.75,15.12572373,18.02341148,23.68677783,25-Mar, 
85,3/26/1900,3/26/2020,44,36,3/27/2019,45,35,3/27/2018,44,51,3/27/2017,37,65,3/26/2016,40,29,41.5,3.040384866,3.62284202,4.761221488,45,13.36285404,15.92282268,20.92613619,26-Mar, 
86,3/27/1900,3/27/2020,44,30,3/28/2019,47,55,3/28/2018,35,66,3/28/2017,37,67,3/27/2016,51,40,42.5,6.352770251,7.569792649,9.948393889,57,10.33774475,12.31818263,16.18883615,27-Mar, 
87,3/28/1900,3/28/2020,42,39,3/29/2019,44,59,3/29/2018,37,77,3/29/2017,46,24,3/28/2016,42,48,42.25,3.176385125,3.784896324,4.974196944,52,18.22994572,21.72232013,28.54796781,28-Mar, 
88,3/29/1900,3/29/2020,42,23,3/30/2019,71,72,3/30/2018,37,67,3/30/2017,44,35,3/29/2016,61,24,53.25,12.78293986,15.23181232,20.01799464,49.5,19.42158206,23.14224241,30.41406201,29-Mar, 
89,3/30/1900,3/30/2020,37,43,3/31/2019,45,100,3/31/2018,44,28,3/31/2017,44,27,3/30/2016,46,33,44.75,0.787413725,0.938261325,1.2330844,47,29.13914413,34.7214318,45.6316964,30-Mar, 
90,3/31/1900,3/31/2020,41,23,4/1/2019,44,26,4/1/2018,44,32,4/1/2017,42,22,3/31/2016,61,49,47.75,7.306032968,8.705675236,11.44119665,32.25,9.78595755,11.66068764,15.32474125,31-Mar, 
91,4/1/1900,4/1/2020,43,27,4/2/2019,46,34,4/2/2018,44,53,4/2/2017,45,27,4/1/2016,45,48,45,0.671508681,0.800151946,1.05157791,40.5,9.926070427,11.82764243,15.54415703,1-Apr,1-Apr
92,4/2/1900,4/2/2020,41,13,4/3/2019,54,46,4/3/2018,42,58,4/3/2017,49,55,4/2/2016,39,26,46,5.577970036,6.646561249,8.735062158,46.25,11.86833417,14.14199243,18.58572851,2-Apr, 
93,4/3/1900,4/3/2020,36,13,4/4/2019,49,32,4/4/2018,43,58,4/4/2017,44,55,4/3/2016,41,25,44.25,2.799071796,3.335299762,4.383326903,42.5,13.53885405,16.13253964,21.20175098,3-Apr, 
94,4/4/1900,4/4/2020,40,19,4/5/2019,41,40,4/5/2018,44,26,4/5/2017,43,60,4/4/2016,37,50,41.25,2.545983345,3.033726272,3.986992154,44,11.93699942,14.22381212,18.69325781,4-Apr, 
95,4/5/1900,4/5/2020,41,52,4/6/2019,49,53,4/6/2018,49,56,4/6/2017,42,50,4/5/2016,43,32,45.75,3.104593138,3.699350896,4.861771194,47.75,8.867347779,10.56609658,13.88620475,5-Apr, 
96,4/6/1900,4/6/2020,43,35,4/7/2019,64,53,4/7/2018,46,28,4/7/2017,39,30,4/6/2016,47,40,49,8.729612856,10.4019753,13.67051283,37.75,9.41011066,11.21283844,14.73616764,6-Apr, 
97,4/7/1900,4/7/2020,50,35,4/8/2019,51,61,4/8/2018,43,28,4/8/2017,45,21,4/7/2016,44,44,45.75,2.955782593,3.522032194,4.628734918,38.5,14.65828239,17.46642077,22.95476795,7-Apr, 
98,4/8/1900,4/8/2020,44,46,4/9/2019,38,65,4/9/2018,43,35,4/9/2017,61,32,4/8/2016,41,35,45.75,8.530407131,10.16460704,13.35855805,41.75,12.80056543,15.25281449,20.04559616,8-Apr, 
99,4/9/1900,4/9/2020,43,31,4/10/2019,38,36,4/10/2018,43,62,4/10/2017,97,55,4/9/2016,43,41,55.25,22.97281154,27.37379333,35.97526259,48.5,9.926070427,11.82764243,15.54415703,9-Apr, 
100,4/10/1900,4/10/2020,38,17,4/11/2019,42,38,4/11/2018,50,58,4/11/2017,122,63,4/10/2016,42,35,64,31.95139637,38.07243703,50.03566379,48.5,11.56282574,13.77795667,18.10730443,10-Apr, 
