"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"02/15/2016","","PINNACLE STATE PARK","36-101-0003","32"
"02/16/2016","","PINNACLE STATE PARK","36-101-0003","8"
"02/17/2016","","PINNACLE STATE PARK","36-101-0003","20"
"02/18/2016","","PINNACLE STATE PARK","36-101-0003","11"
"02/20/2016","","PINNACLE STATE PARK","36-101-0003","42"
"02/21/2016","","PINNACLE STATE PARK","36-101-0003","43"
"02/24/2016","","PINNACLE STATE PARK","36-101-0003","4"
"02/25/2016","","PINNACLE STATE PARK","36-101-0003","5"
"02/26/2016","","PINNACLE STATE PARK","36-101-0003","8"
"02/27/2016","","PINNACLE STATE PARK","36-101-0003","18"
"02/28/2016","","PINNACLE STATE PARK","36-101-0003","23"
"02/29/2016","","PINNACLE STATE PARK","36-101-0003","9"
"03/01/2016","","PINNACLE STATE PARK","36-101-0003","12"
"03/02/2016","","PINNACLE STATE PARK","36-101-0003","8"
"03/04/2016","","PINNACLE STATE PARK","36-101-0003","25"
"03/07/2016","","PINNACLE STATE PARK","36-101-0003","54"
"03/13/2016","","PINNACLE STATE PARK","36-101-0003","18"
"03/16/2016","","PINNACLE STATE PARK","36-101-0003","15"
"03/18/2016","","PINNACLE STATE PARK","36-101-0003","9"
"03/19/2016","","PINNACLE STATE PARK","36-101-0003","6"
"03/20/2016","","PINNACLE STATE PARK","36-101-0003","12"
"03/21/2016","","PINNACLE STATE PARK","36-101-0003","14"
"03/22/2016","","PINNACLE STATE PARK","36-101-0003","19"
"03/23/2016","","PINNACLE STATE PARK","36-101-0003","27"
"03/24/2016","","PINNACLE STATE PARK","36-101-0003","43"
"03/25/2016","","PINNACLE STATE PARK","36-101-0003","28"
"03/26/2016","","PINNACLE STATE PARK","36-101-0003","17"
"03/27/2016","","PINNACLE STATE PARK","36-101-0003","42"
"03/28/2016","","PINNACLE STATE PARK","36-101-0003","4"
"03/29/2016","","PINNACLE STATE PARK","36-101-0003","10"
"03/31/2016","","PINNACLE STATE PARK","36-101-0003","23"
"04/02/2016","","PINNACLE STATE PARK","36-101-0003","9"
"04/03/2016","","PINNACLE STATE PARK","36-101-0003","8"
"04/04/2016","","PINNACLE STATE PARK","36-101-0003","16"
"04/06/2016","","PINNACLE STATE PARK","36-101-0003","24"
"04/07/2016","","PINNACLE STATE PARK","36-101-0003","15"
"04/08/2016","","PINNACLE STATE PARK","36-101-0003","8"
"04/09/2016","","PINNACLE STATE PARK","36-101-0003","15"
"04/10/2016","","PINNACLE STATE PARK","36-101-0003","17"
"04/11/2016","","PINNACLE STATE PARK","36-101-0003","23"
"04/12/2016","","PINNACLE STATE PARK","36-101-0003","14"
"04/13/2016","","PINNACLE STATE PARK","36-101-0003","12"
"04/15/2016","","PINNACLE STATE PARK","36-101-0003","16"
"04/16/2016","","PINNACLE STATE PARK","36-101-0003","17"
"04/17/2016","","PINNACLE STATE PARK","36-101-0003","19"
"04/18/2016","","PINNACLE STATE PARK","36-101-0003","29"
"04/19/2016","","PINNACLE STATE PARK","36-101-0003","19"
"04/20/2016","","PINNACLE STATE PARK","36-101-0003","8"
"04/21/2016","","PINNACLE STATE PARK","36-101-0003","28"
